name,loc1,loc2,loc3,z,lat,lon,cortarNo
서울특별시,용산구,원효로3가,백석동,14,37.5344,126.9581,1117011700
서울특별시,용산구,원효로4가,풍동,14,37.5328,126.9504,1117011800
서울특별시,용산구,효창동,산황동,14,37.541683,126.961325,1117011900
서울특별시,용산구,도원동,사리현동,14,37.5388,126.9561,1117012000
서울특별시,용산구,용문동,지영동,14,37.537511,126.960325,1117012100
서울특별시,용산구,문배동,설문동,14,37.537,126.969088,1117012200
서울특별시,용산구,신계동,문봉동,14,37.5358,126.9667,1117012300
서울특별시,용산구,한강로1가,성석동,14,37.5362,126.973488,1117012400
서울특별시,용산구,한강로2가,일산동,14,37.5313,126.9693,1117012500
서울특별시,용산구,용산동3가,주엽동,14,37.532,126.9768,1117012600
서울특별시,용산구,용산동5가,탄현동,14,37.5257,126.9747,1117012700
서울특별시,용산구,한강로3가,대화동,14,37.5278,126.9602,1117012800
서울특별시,용산구,이촌동,덕이동,14,37.5187,126.9662,1117012900
서울특별시,용산구,이태원동,가좌동,14,37.5389,126.9913,1117013000
서울특별시,용산구,한남동,구산동,14,37.5375,127.0061,1117013100
서울특별시,용산구,동빙고동,법곳동,14,37.5237,126.9957,1117013200
서울특별시,용산구,서빙고동,김량장동,14,37.520458,126.994663,1117013300
서울특별시,용산구,주성동,역북동,14,37.5229,127.000225,1117013400
서울특별시,용산구,용산동6가,삼가동,14,37.5169,126.984,1117013500
서울특별시,용산구,보광동,남동,14,37.526342,127.000175,1117013600
서울특별시,성동구,상왕십리동,유방동,14,37.568275,127.0247,1120010100
서울특별시,성동구,하왕십리동,고림동,14,37.564158,127.028675,1120010200
서울특별시,성동구,홍익동,마평동,14,37.56695,127.031975,1120010300
서울특별시,성동구,도선동,운학동,14,37.568275,127.0247,1120010100
서울특별시,성동구,마장동,호동,14,37.566325,127.045388,1120010500
서울특별시,성동구,사근동,해곡동,14,37.561217,127.045875,1120010600
서울특별시,성동구,행당동,포곡읍,14,37.559,127.0348,1120010700
서울특별시,성동구,응봉동,모현읍,14,37.553283,127.033563,1120010800
서울특별시,성동구,금호동1가,이동읍,14,37.553,127.0263,1120010900
서울특별시,성동구,금호동2가,남사읍,14,37.553808,127.01885,1120011000
서울특별시,성동구,금호동3가,원삼면,14,37.5498,127.0193,1120011100
서울특별시,성동구,금호동4가,백암면,14,37.545181,127.022949,1120011200
서울특별시,성동구,옥수동,양지면,14,37.5419,127.016,1120011300
서울특별시,성동구,성수동1가,신갈동,14,37.543225,127.041425,1120011400
서울특별시,성동구,성수동2가,구갈동,14,37.539817,127.056888,1120011500
서울특별시,성동구,송정동,상갈동,14,37.554522,127.0696,1120011800
서울특별시,성동구,용답동,하갈동,14,37.564062,127.055552,1120012200
서울특별시,광진구,중곡동,보라동,14,37.5631,127.0876,1121510100
서울특별시,광진구,능동,지곡동,14,37.55378,127.080499,1121510200
서울특별시,광진구,구의동,공세동,14,37.543983,127.088337,1121510300
서울특별시,광진구,광장동,고매동,14,37.546892,127.103025,1121510400
서울특별시,광진구,자양동,농서동,14,37.533214,127.076006,1121510500
서울특별시,광진구,화양동,서천동,14,37.5465,127.0713,1121510700
서울특별시,광진구,군자동,영덕동,14,37.555122,127.075837,1121510900
서울특별시,동대문구,신설동,언남동,14,37.573942,127.024625,1123010100
서울특별시,동대문구,용두동,마북동,14,37.5758,127.0362,1123010200
서울특별시,동대문구,제기동,청덕동,14,37.5847,127.0371,1123010300
서울특별시,동대문구,전농동,동백동,14,37.5803,127.0567,1123010400
서울특별시,동대문구,답십리동,중동,14,37.57,127.0564,1123010500
서울특별시,동대문구,장안동,상하동,14,37.5711,127.0714,1123010600
서울특별시,동대문구,청량리동,보정동,14,37.5882,127.0464,1123010700
서울특별시,동대문구,회기동,풍덕천동,14,37.590808,127.055313,1123010800
서울특별시,동대문구,휘경동,죽전동,14,37.588574,127.0627,1123010900
서울특별시,동대문구,이문동,동천동,14,37.5996,127.0624,1123011000
서울특별시,중랑구,면목동,고기동,14,37.5818,127.0903,1126010100
서울특별시,중랑구,상봉동,신봉동,14,37.600282,127.090875,1126010200
서울특별시,중랑구,중화동,성복동,14,37.6004,127.0792,1126010300
서울특별시,중랑구,묵동,상현동,14,37.612607,127.078325,1126010400
서울특별시,중랑구,망우동,영동,14,37.600899,127.1073,1126010500
서울특별시,중랑구,신내동,북문로1가,14,37.6103,127.0934,1126010600
