name,z,lat,lon,cortarNo
김천시 대광동,14,36.1444,128.1431,4715011700
김천시 응명동,14,36.1497,128.1212,4715011800
김천시 양천동,14,36.0939,128.1054,4715011900
김천시 율곡동,14,36.124874,128.18151,4715012000
김천시 아포읍,14,36.159889,128.253401,4715025000
김천시 아포읍 인리,,,,
김천시 아포읍 의리,,,,
김천시 아포읍 예리,,,,
김천시 아포읍 지리,,,,
김천시 아포읍 대신리,,,,
김천시 아포읍 봉산리,,,,
김천시 아포읍 제석리,,,,
김천시 아포읍 국사리,,,,
김천시 아포읍 송천리,,,,
김천시 아포읍 대성리,,,,
김천시 농소면,14,36.106092,128.172323,4715031000
김천시 농소면 입석리,,,,
김천시 농소면 신촌리,,,,
김천시 농소면 월곡리,,,,
김천시 농소면 용암리,,,,
김천시 농소면 봉곡리,,,,
김천시 농소면 연명리,,,,
김천시 농소면 노곡리,,,,
김천시 남면,14,36.107917,128.189496,4715032000
김천시 남면 옥산리,,,,
김천시 남면 운곡리,,,,
김천시 남면 송곡리,,,,
김천시 남면 월명리,,,,
김천시 남면 부상리,,,,
김천시 남면 오봉리,,,,
김천시 남면 봉천리,,,,
김천시 남면 초곡리,,,,
김천시 남면 운남리,,,,
김천시 개령면,14,36.165124,128.1915,4715034000
김천시 개령면 황계리,,,,
김천시 개령면 신룡리,,,,
김천시 개령면 덕촌리,,,,
김천시 개령면 서부리,,,,
김천시 개령면 동부리,,,,
김천시 개령면 양천리,,,,
김천시 개령면 광천리,,,,
김천시 개령면 남전리,,,,
김천시 감문면,14,36.214222,128.181006,4715035000
김천시 감문면 보광리,,,,
김천시 감문면 금라리,,,,
김천시 감문면 구야리,,,,
김천시 감문면 은림리,,,,
김천시 감문면 도명리,,,,
김천시 감문면 문무리,,,,
김천시 감문면 남곡리,,,,
김천시 감문면 송북리,,,,
김천시 감문면 금곡리,,,,
김천시 감문면 삼성리,,,,
김천시 감문면 광덕리,,,,
김천시 감문면 덕남리,,,,
김천시 감문면 태촌리,,,,
김천시 감문면 성촌리,,,,
김천시 감문면 대양리,,,,
김천시 어모면,14,36.180676,128.118888,4715036000
김천시 어모면 중왕리,,,,
김천시 어모면 옥율리,,,,
김천시 어모면 남산리,,,,
김천시 어모면 다남리,,,,
김천시 어모면 군자리,,,,
김천시 어모면 덕마리,,,,
김천시 어모면 구례리,,,,
김천시 어모면 옥계리,,,,
김천시 어모면 능치리,,,,
김천시 어모면 도암리,,,,
김천시 어모면 은기리,,,,
김천시 어모면 동좌리,,,,
김천시 봉산면,14,36.141479,128.06027,4715037000
김천시 봉산면 신리,,,,
김천시 봉산면 인의리,,,,
김천시 봉산면 예지리,,,,
김천시 봉산면 덕천리,,,,
김천시 봉산면 태화리,,,,
김천시 봉산면 상금리,,,,
김천시 봉산면 신암리,,,,
김천시 봉산면 광천리,,,,
김천시 대항면,14,36.124438,128.022124,4715038000
김천시 대항면 향천리,,,,
김천시 대항면 운수리,,,,
김천시 대항면 주례리,,,,
김천시 대항면 대성리,,,,
김천시 대항면 덕전리,,,,
김천시 대항면 대룡리,,,,
김천시 대항면 복전리,,,,
김천시 감천면,14,36.066004,128.125491,4715039000
김천시 감천면 용호리,,,,
김천시 감천면 무안리,,,,
김천시 감천면 도평리,,,,
김천시 감천면 광기리,,,,
김천시 감천면 금송리,,,,
김천시 조마면,14,36.03495,128.099025,4715040000
김천시 조마면 신안리,,,,
김천시 조마면 장암리,,,,
김천시 조마면 강곡리,,,,
김천시 조마면 신곡리,,,,
김천시 조마면 삼산리,,,,
김천시 조마면 신왕리,,,,
김천시 조마면 대방리,,,,
김천시 구성면,14,36.032542,128.047712,4715041000
김천시 구성면 하강리,,,,
김천시 구성면 양각리,,,,
김천시 구성면 흥평리,,,,
김천시 구성면 송죽리,,,,
김천시 구성면 광명리,,,,
김천시 구성면 금평리,,,,
김천시 구성면 구미리,,,,
김천시 구성면 임평리,,,,
김천시 구성면 임천리,,,,
김천시 구성면 월계리,,,,
