법정동코드	법정동명	폐지여부
4711331030	포항시 북구 신광면 반곡리	존재
4711331031	포항시 북구 신광면 기일리	존재
4711331032	포항시 북구 신광면 마북리	존재
4711331033	포항시 북구 신광면 호리	존재
4711332000	포항시 북구 청하면	존재
4711332021	포항시 북구 청하면 덕성리	존재
4711332022	포항시 북구 청하면 덕천리	존재
4711332023	포항시 북구 청하면 미남리	존재
4711332024	포항시 북구 청하면 필화리	존재
4711332025	포항시 북구 청하면 용두리	존재
4711332026	포항시 북구 청하면 월포리	존재
4711332027	포항시 북구 청하면 방어리	존재
4711332028	포항시 북구 청하면 이가리	존재
4711332029	포항시 북구 청하면 청진리	존재
4711332030	포항시 북구 청하면 신흥리	존재
4711332031	포항시 북구 청하면 소동리	존재
4711332032	포항시 북구 청하면 고현리	존재
4711332033	포항시 북구 청하면 하대리	존재
4711332034	포항시 북구 청하면 상대리	존재
4711332035	포항시 북구 청하면 서정리	존재
4711332036	포항시 북구 청하면 명안리	존재
4711332037	포항시 북구 청하면 유계리	존재
4711332038	포항시 북구 청하면 청계리	존재
4711333000	포항시 북구 송라면	존재
4711333021	포항시 북구 송라면 상송리	존재
4711333022	포항시 북구 송라면 하송리	존재
4711333023	포항시 북구 송라면 중산리	존재
4711333024	포항시 북구 송라면 광천리	존재
4711333025	포항시 북구 송라면 조사리	존재
4711333026	포항시 북구 송라면 방석리	존재
4711333027	포항시 북구 송라면 화진리	존재
4711333028	포항시 북구 송라면 대전리	존재
4711333029	포항시 북구 송라면 지경리	존재
4711334000	포항시 북구 기계면	존재
4711334021	포항시 북구 기계면 현내리	존재
4711334022	포항시 북구 기계면 지가리	존재
4711334023	포항시 북구 기계면 봉계리	존재
4711334024	포항시 북구 기계면 고지리	존재
4711334025	포항시 북구 기계면 문성리	존재
4711334026	포항시 북구 기계면 학야리	존재
4711334027	포항시 북구 기계면 성계리	존재
4711334028	포항시 북구 기계면 내단리	존재
4711334029	포항시 북구 기계면 화대리	존재
4711334030	포항시 북구 기계면 화봉리	존재
4711334031	포항시 북구 기계면 계전리	존재
4711334032	포항시 북구 기계면 미현리	존재
4711334033	포항시 북구 기계면 인비리	존재
4711334034	포항시 북구 기계면 구지리	존재
4711334035	포항시 북구 기계면 가안리	존재
4711334036	포항시 북구 기계면 남계리	존재
4711335000	포항시 북구 죽장면	존재
4711335021	포항시 북구 죽장면 가사리	존재
4711335022	포항시 북구 죽장면 매현리	존재
4711335023	포항시 북구 죽장면 침곡리	존재
4711335024	포항시 북구 죽장면 입암리	존재
