법정동코드	법정동명	폐지여부
4815136000	마산시 합포구 진동면	폐지
4815136021	마산시 합포구 진동면 고현리	폐지
4815136022	마산시 합포구 진동면 신기리	폐지
4815136023	마산시 합포구 진동면 사동리	폐지
4815136024	마산시 합포구 진동면 진동리	폐지
4815136025	마산시 합포구 진동면 요장리	폐지
4815136026	마산시 합포구 진동면 다구리	폐지
4815136027	마산시 합포구 진동면 교동리	폐지
4815136028	마산시 합포구 진동면 인곡리	폐지
4815136029	마산시 합포구 진동면 태봉리	폐지
4815136030	마산시 합포구 진동면 동전리	폐지
4815137000	마산시 합포구 진북면	폐지
4815137021	마산시 합포구 진북면 지산리	폐지
4815137022	마산시 합포구 진북면 예곡리	폐지
4815137023	마산시 합포구 진북면 인곡리	폐지
4815137024	마산시 합포구 진북면 대평리	폐지
4815137025	마산시 합포구 진북면 이목리	폐지
4815137026	마산시 합포구 진북면 금산리	폐지
4815137027	마산시 합포구 진북면 영학리	폐지
4815137028	마산시 합포구 진북면 부산리	폐지
4815137029	마산시 합포구 진북면 덕곡리	폐지
4815137030	마산시 합포구 진북면 신촌리	폐지
4815137031	마산시 합포구 진북면 망곡리	폐지
4815137032	마산시 합포구 진북면 부평리	폐지
4815137033	마산시 합포구 진북면 추곡리	폐지
4815137034	마산시 합포구 진북면 대티리	폐지
4815137035	마산시 합포구 진북면 정현리	폐지
4815138000	마산시 합포구 진전면	폐지
4815138021	마산시 합포구 진전면 율티리	폐지
4815138022	마산시 합포구 진전면 근곡리	폐지
4815138023	마산시 합포구 진전면 임곡리	폐지
4815138024	마산시 합포구 진전면 봉곡리	폐지
4815138025	마산시 합포구 진전면 곡안리	폐지
4815138026	마산시 합포구 진전면 동산리	폐지
4815138027	마산시 합포구 진전면 양촌리	폐지
4815138028	마산시 합포구 진전면 봉암리	폐지
4815138029	마산시 합포구 진전면 일암리	폐지
4815138030	마산시 합포구 진전면 오서리	폐지
4815138031	마산시 합포구 진전면 이명리	폐지
4815138032	마산시 합포구 진전면 창포리	폐지
4815138033	마산시 합포구 진전면 시락리	폐지
4815138034	마산시 합포구 진전면 평암리	폐지
4815138035	마산시 합포구 진전면 금암리	폐지
4815138036	마산시 합포구 진전면 고사리	폐지
4815138037	마산시 합포구 진전면 여양리	폐지
4815300000	마산시 회원구	폐지
4815310100	마산시 회원구 구암동	폐지
4815310200	마산시 회원구 두척동	폐지
4815310300	마산시 회원구 봉암동	폐지
4815310400	마산시 회원구 석전동	폐지
4815310500	마산시 회원구 양덕동	폐지
4815310600	마산시 회원구 합성동	폐지
4815310700	마산시 회원구 회성동	폐지
4815310800	마산시 회원구 회원동	폐지
4815325000	마산시 회원구 내서읍	폐지
4815325021	마산시 회원구 내서읍 안성리	폐지
4815325022	마산시 회원구 내서읍 평성리	폐지
4815325023	마산시 회원구 내서읍 호계리	폐지
4815325024	마산시 회원구 내서읍 용담리	폐지
4815325025	마산시 회원구 내서읍 중리	폐지
4815325026	마산시 회원구 내서읍 상곡리	폐지
4815325027	마산시 회원구 내서읍 원계리	폐지
4815325028	마산시 회원구 내서읍 삼계리	폐지
4815325029	마산시 회원구 내서읍 신감리	폐지
4815325030	마산시 회원구 내서읍 감천리	폐지
4815331000	마산시 회원구 내서면	폐지
